name_ru,name_eng
Люциан,Ljutsian
Мавр,Mavr
Маврикий,Mavrikij
Мавродий,Mavrodij
Магнус,Magnus
Магомед,Magomed
Магомет,Magomet
Май,Maj
Майк,Majk
Майкл,Majkl
Макар,Makar
Макарий,Makarij
Македон,Makedon
Македоний,Makedonij
Макс,Maks
Максим,Maksim
Максимиан,Maksimian
Максимилиан,Maksimilian
Максимильян,Maksimiljan
Малх,Malh
Малькольм,Malkolm
Мануил,Manuil
Марат,Marat
Мардарий,Mardarij
Мариан,Marian
Марий,Marij
Марин,Marin
Марио,Mario
Марион,Marion
Марк,Mark
Маркел,Markel
Маркиан,Markian
Маркус,Markus
Марлен,Marlen
Мартимьян,Martimjan
Мартин,Martin
Мартиниан,Martinian
Мартирий,Martirij
Мартын,Martyn
Мартьян,Martjan
Матвей,Matvej
Матиас,Matias
Матфей,Matfej
Мелентий,Melentij
Мелетий,Meletij
Мередит,Meredit
Меркул,Merkul
Меркурий,Merkurij
Мефодий,Mefodij
Мечислав,Mechislav
Микаэл,Mikael
Микаэль,Mikael
Микки,Mikki
Милан,Milan
Милен,Milen
Милий,Milij
Милослав,Miloslav
Микола,Mikola
Миколай,Mikolaj
Мина,Mina
Минай,Minaj
Мирон,Miron
Мирослав,Miroslav
Мисаил,Misail
Митрофан,Mitrofan
Митрофаний,Mitrofanij
Михаил,Mihail
Михайло,Mihajlo
Михай,Mihaj
Михей,Mihej
Модест,Modest
Мозес,Mozes
Моисей,Moisej
Мокей,Mokej
Мокий,Mokij
Монтегю,Montegju
Монти,Monti
Монтэг,Monteg
Морган,Morgan
Морис,Moris
Моррис,Morris
Мортимер,Mortimer
Мстислав,Mstislav
Мурад,Murad
Мурат,Murat
Мухаммад,Muhammad
Мухаммед,Muhammed
Мэрион,Merion
Мэт,Met
Мэтью,Metju
Назар,Nazar
Назарий,Nazarij
Наркис,Narkis
Нат,Nat
Натан,Natan
Натаниэль,Nataniel
Нарцис,Nartsis
Нарцисс,Nartsiss
Наум,Naum
Невиль,Nevil
Нед,Ned
Недди,Neddi
Нестер,Nester
Нестор,Nestor
Нефёд,Nefed
Ник,Nik
Никки,Nikki
Никандр,Nikandr
Никанор,Nikanor
Никита,Nikita
Никифор,Nikifor
Никодим,Nikodim
Никола,Nikola
Николай,Nikolaj
Николас,Nikolas
Николя,Nikolja
Никон,Nikon
Нил,Nil
Нильс,Nils
Нифонт,Nifont
Нодар,Nodar
